Field,ID,Type (Type),default,en
Description,2,Text,,"With this subscription you will receive:
-unlimited capacity
-device syncing (upon availability)"
Title,4,Text,,Unlimited - Monthly
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/iaps/9PGVZ60KMDQ7/submissions/1152921505697352900/listings/1152922700014789541/listingassets/3058150456935284444
