Field,ID,Type (Type),default,en-US
Description,2,Text,,"With this subscription you will receive:
● unlimited capacity"
Title,4,Text,,Unlimited - Yearly
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,listing_Unlimited_Yearly_1.0.13.0/UnlimitedLogo.png
